COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
1,Nevada,Churchill County,24877,24875,24816,24607,24267,23956,23864,24006,23957,24088,24574,25048,25334,25363
3,Nevada,Clark County,1951269,1951278,1952640,1962162,1989644,2017798,2053929,2097832,2140240,2183273,2228970,2275884,2307540,2315963
5,Nevada,Douglas County,46997,47000,47037,46982,46930,46956,47406,47422,47805,48014,48527,48998,49135,49088
7,Nevada,Elko County,48818,48942,49093,49463,50998,52378,52616,51756,52022,52307,52470,52880,52997,53006
9,Nevada,Esmeralda County,783,784,783,770,791,847,834,847,839,858,827,870,878,886
11,Nevada,Eureka County,1987,1987,1990,1977,1991,2050,1994,2040,1943,1959,2019,2078,2085,2065
13,Nevada,Humboldt County,16528,16519,16580,16640,17078,17365,17230,17033,16814,16734,16778,16884,16956,16962
15,Nevada,Lander County,5775,5775,5795,5840,5922,6064,5980,5885,5700,5584,5512,5516,5523,5514
17,Nevada,Lincoln County,5345,5339,5351,5269,5369,5268,5201,5135,5143,5179,5225,5179,5163,5159
19,Nevada,Lyon County,51980,51985,52049,51393,50981,51114,51359,51999,52770,53945,55800,57499,58142,58319
21,Nevada,Mineral County,4772,4770,4791,4634,4663,4561,4473,4423,4382,4458,4560,4516,4520,4518
23,Nevada,Nye County,43946,43944,43848,43981,43604,42905,42877,43008,43295,44046,45328,46845,47792,48054
27,Nevada,Pershing County,6753,6748,6734,6609,6752,6846,6703,6620,6582,6475,6696,6628,6577,6573
29,Nevada,Storey County,4010,4013,3997,3905,3838,3795,3801,3881,4004,4001,4027,4193,4203,4207
31,Nevada,Washoe County,421407,421429,421969,424066,427490,431255,436515,442617,449990,456864,464593,472381,476178,477082
33,Nevada,White Pine County,10030,10026,10027,10129,10022,10052,10041,9875,9746,9628,9532,9478,9465,9466
510,Nevada,Carson City,55274,55269,54983,54687,54330,53746,54112,54152,54323,54684,55287,55894,56012,56034
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nevada rows copied from:,,,,,,,,,,,,,,,,
"Annual Resident Population Estimates for States and Counties: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (CO-EST2020)",,,,,,,,,,,,,,,,
